site,tree_id,year,fate,instar,tet_larv
MP,2017.MP.19.Low.Ungirdled,2017,Alive,5,0
MP,2017.MP.19.Low.Ungirdled,2017,Alive,5,0
MP,2017.MP.20.Low.Ungirdled,2017,Alive,0,0
MP,2017.MP.21.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.21.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.21.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.21.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.21.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.22.Low.Ungirdled,2017,Alive,1,0
MP,2017.MP.23.High.Girdled,2017,Tets,5,2
MP,2017.MP.23.High.Girdled,2017,Tets,5,2
MP,2017.MP.24.High.Girdled,2017,Tets,1,8
MP,2017.MP.24.High.Girdled,2017,Tets,1,8
MP,2017.MP.24.High.Girdled,2017,Tets,2,8
MP,2017.MP.24.High.Girdled,2017,Tets,2,8
MP,2017.MP.25.High.Girdled,2017,Alive,4,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.25.High.Girdled,2017,Alive,5,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.26.High.Ungirdled,2017,Alive,3,0
MP,2017.MP.27.Low.Girdled,2017,Alive,1,0
MP,2017.MP.27.Low.Girdled,2017,Alive,2,0
MP,2017.MP.27.Low.Girdled,2017,Alive,2,0
MP,2017.MP.29.Low.Ungirdled,2017,Alive,1,0
MP,2017.MP.29.Low.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.30.High.Ungirdled,2017,KBT,1,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,1,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.30.High.Ungirdled,2017,Alive,2,0
MP,2017.MP.31.Low.Girdled,2017,Alive,2,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,2,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,3,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,4,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,5,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,5,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,5,0
Nor,2017.Nor.S 1.1.High.Ungirdled,2017,Alive,5,0
Nor,2017.Nor.S 1.2.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.2.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.2.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.2.High.Ungirdled,2017,Alive,2,0
Nor,2017.Nor.S 1.2.High.Ungirdled,2017,Alive,2,0
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,1,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,1,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,1,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,1,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,2,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,2,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,2,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,2,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,2,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,5,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,5,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,5,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,5,37
Nor,2017.Nor.S 1.3.High.Ungirdled,2017,Tets,5,37
Nor,2017.Nor.S 1.4.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.4.High.Ungirdled,2017,Alive,1,0
Nor,2017.Nor.S 1.4.High.Ungirdled,2017,Alive,2,0
Nor,2017.Nor.S 1.4.High.Ungirdled,2017,Alive,2,0
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,2,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,3,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,4,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.1.High.Girdled,2017,Tets,5,204
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,1,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,1,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,2,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,3,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,4,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.2.High.Girdled,2017,Tets,5,183
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,1,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,2,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,5,0
Nor,2017.Nor.S 2.3.High.Girdled,2017,Alive,5,0
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 2.4.High.Girdled,2017,Tets,5,153
Nor,2017.Nor.S 3.1.Low.Ungirdled,2017,Tets,3,34
Nor,2017.Nor.S 3.1.Low.Ungirdled,2017,Tets,4,34
Nor,2017.Nor.S 3.2.Low.Ungirdled,2017,Tets,1,106
Nor,2017.Nor.S 3.2.Low.Ungirdled,2017,Tets,1,106
Nor,2017.Nor.S 3.3.Low.Ungirdled,2017,Alive,0,0
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,1,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,1,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,1,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,1,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,4,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 3.4.Low.Ungirdled,2017,Tets,5,110
Nor,2017.Nor.S 4.1.Low.Girdled,2017,Alive,1,0
